fName	lName	age	test1	test2	test3	test4
Lawry	Malim	21	63	87	11	90
Edik	Mc Ilory	22	27	4	45	57
Joscelin	Mulchrone	21	29	38	50	33
Jacob	Leyson	19	86	19	84	31
Jolynn	Longo	20	49	84	87	72
Drusie	Belson	21	9	4	18	82
Jill	Tickner	19	48	85	38	3
Ronny	Goodliff	19	33	5	93	88
Alleyn	Muslim	19	39	80	55	66
Veronika	Heyfield	19	77	42	7	71
Hephzibah	Estcourt	22	26	54	58	43
Hannah	Luckcuck	21	99	32	45	21
Seka	Dobell	20	49	47	8	17
Gar	Balcock	22	94	19	16	100
Stacie	Crisall	19	88	28	11	14
Hana	Shelford	20	90	39	35	66
Adriana	Fraulo	22	25	89	80	51
Luciano	Wilkison	22	48	91	6	46
Galina	Lyptrit	22	39	49	59	9
Alexis	Mollen	19	32	23	91	76
Miles	Limpkin	19	63	16	92	100
Alane	Augustus	21	59	30	53	90
Jefferson	Brame	20	14	29	35	95
Anett	Hensmans	19	40	38	34	88
Sonnie	Bogace	19	42	90	35	1
Rosalia	MacParland	22	39	71	14	98
Pavla	Coger	19	29	47	78	23
Kennan	Ethington	21	53	14	89	49
Miller	Kohler	21	38	84	11	72
Fulvia	Coaster	19	69	88	8	82
Derrick	Constant	20	89	24	76	42
Kristofor	Brydell	20	42	86	28	19
Opaline	Glencross	20	4	82	51	67
Willetta	Fairrie	21	3	34	19	21
Talya	Horsted	22	21	67	2	49
Brantley	Messer	21	24	20	92	67
Ara	Seifert	20	90	24	43	70
Cord	Meaker	20	31	98	51	5
Sandro	Grimsey	21	47	99	83	46
Frederique	Folling	22	97	23	69	60
Averil	Lanchbery	21	80	70	85	39
Brit	Mattisson	21	28	57	11	57
Xaviera	Sebire	20	86	18	38	89
Regan	Wulfinger	21	3	17	97	86
Tillie	Thurlby	19	68	75	7	19
Tami	Creddon	20	17	78	81	83
Gerrilee	Bedberry	20	15	95	57	99
Avie	Bradman	20	64	19	27	21
Dante	Reed	21	36	38	3	17
Niels	Southward	22	35	62	74	23
Domini	Verheyden	20	38	49	76	1
Aubert	Youson	22	87	23	89	57
Franciska	Martinez	20	5	87	21	39
Sharona	Soigoux	19	55	75	56	43
Sargent	Becaris	21	83	39	69	99
Brantley	Cars	22	19	5	75	45
Guenevere	Tarn	19	10	31	13	32
Nichole	Trevithick	19	92	36	79	49
Angelico	Cobbold	19	37	100	9	88
Lilas	Woolens	21	82	10	94	81
Emelyne	Kaaskooper	20	71	53	74	62
Cicely	Van den Hof	20	34	78	97	44
Kat	Le Noury	20	1	72	25	4
Leonora	Kruschov	19	91	77	33	70
Tomasina	Tathacott	21	5	40	77	61
Ilise	Possa	20	34	43	68	50
Corbett	Tingly	22	100	68	94	5
Wilden	Warricker	20	59	59	77	59
Desmund	Buard	22	6	58	21	28
Norrie	Cuthill	19	56	53	83	40
Benedetto	Kunzel	20	98	99	28	53
Kippar	Hawkwood	19	31	70	86	55
Florence	Knewstub	20	29	93	83	87
Tonia	Edwardson	20	56	18	65	48
Isabeau	Greggor	20	2	14	37	19
Marcela	MacBarron	20	92	57	8	67
Rora	Kuhlen	20	64	91	16	49
Garrett	Golton	22	84	46	67	67
Petr	Breewood	20	46	68	58	66
Merna	O'Luney	19	16	50	8	58
Bria	Braundt	20	72	26	48	83
Tove	Gaskin	20	83	64	45	18
Mignonne	Dowman	20	88	86	89	95
Tabby	Alcalde	21	66	47	94	63
Jan	Stirtle	21	22	88	41	57
Sheela	McGray	19	43	90	95	54
Willem	Fleischer	20	37	11	46	38
Agustin	Arnason	20	13	89	23	27
Dorelle	Billin	19	30	65	58	36
Luis	Woolnough	20	26	7	87	57
Cele	Blomefield	20	24	63	69	88
Jasmin	Seavers	22	46	55	13	54
Vallie	Esseby	19	44	53	69	43
Barbee	Lynagh	21	100	78	62	10
Jolene	Trehearne	19	38	91	55	21
Maddy	Pulbrook	20	17	67	46	76
Burl	Macer	22	6	7	92	69
Alanna	Osorio	20	100	100	31	92
La verne	Strathman	22	1	80	93	36
Willetta	Porkiss	21	38	87	46	38
Nial	Withinshaw	22	83	61	48	61
Konstanze	Norgate	20	85	7	5	69
Lyndy	Wareham	19	61	68	5	23
Domenic	Franzel	19	82	55	37	95
Pansie	Hovert	20	14	12	19	28
Mirabel	Torri	21	97	96	14	87
Avis	Bangle	21	98	29	83	19
Kevyn	Morrice	20	13	48	7	81
Georg	Jumel	20	82	46	18	72
Leon	Mapples	22	2	62	20	2
Tobit	Gawthorpe	22	23	11	27	36
Dalli	Swaine	19	51	30	77	62
Brandy	Shelf	22	39	27	37	15
Tonya	Di Biaggi	20	86	100	98	12
Dolly	Hoffman	22	47	85	10	98
Korry	Kinsett	21	57	72	29	69
Ravi	Hughill	21	6	14	15	48
Lynn	Trosdall	19	53	79	11	28
Dov	Kanter	22	17	94	65	27
Christalle	Romanin	19	93	43	55	18
Briano	Huntriss	22	62	72	21	46
Robinet	Barnaclough	21	1	27	44	54
Forester	McElhargy	22	58	6	74	90
Angelita	Yvon	20	57	92	31	63
August	Palk	19	4	30	11	31
Elia	Bellew	21	2	82	32	12
Kenn	Mordanti	21	24	45	30	80
Eduardo	Mullin	21	16	14	38	74
Ealasaid	Povall	19	65	83	31	80
Winonah	Lifsey	21	34	35	77	85
Othelia	Salvin	22	36	19	62	42
Bartie	Stembridge	22	3	2	86	87
Salvador	Keyme	19	62	56	83	15
Marylin	Kik	22	45	24	88	81
Meir	Jados	22	6	33	25	83
Eduino	Denson	19	16	40	28	67
Roselin	Etuck	20	72	69	59	15
Ibbie	Ballchin	20	67	81	63	79
Murray	Sharpe	20	24	58	65	12
Rodge	Barrell	22	26	38	92	97
Scarface	Mogey	19	69	34	43	52
Dunn	Mortel	21	6	100	81	20
Booth	Monger	22	11	14	91	7
Rorke	Brunskill	22	88	74	23	5
Verina	Vallentine	20	52	77	84	52
Morly	Learman	22	28	9	28	43
Kendall	Gatrill	22	68	11	99	32
Doloritas	Trill	21	48	55	44	88
Garik	Rodenhurst	21	65	81	89	70
Merrily	Terrington	19	5	6	49	53
Quintana	Rawcliffe	22	16	78	71	29
Nerissa	Heaford	20	34	25	54	78
Currey	Uwins	21	20	23	70	39
Gunner	Gudgin	19	75	46	17	17
Erick	Sidery	19	14	7	17	44
Saunder	Streight	22	31	98	70	4
Bennett	Halliburton	21	71	98	76	8
Carola	Kiera	21	16	19	2	94
Rafa	Gehrels	20	31	88	84	77
Catharina	Mc Trusty	19	97	89	98	15
Randolf	Cinderey	22	1	85	22	11
Joye	Dozdill	21	6	53	23	55
Tim	Dunne	19	81	62	94	60
Georgianna	Matzel	22	85	87	70	30
Ev	Rustadge	20	30	60	23	99
Claudelle	De Vaux	22	11	30	38	91
Inger	McElroy	20	43	93	72	52
Prinz	Mila	22	17	4	19	49
Orv	Bellerby	19	15	94	51	97
Bryn	Erskine	19	50	64	87	37
Gabie	Shackel	21	69	56	62	99
Darcy	Handrik	19	7	42	25	45
Vanny	Padillo	22	3	8	100	37
Ronny	Tosspell	20	92	46	9	60
Herschel	Gandar	20	20	21	10	22
Marian	Ghidelli	19	83	5	6	11
Danie	Carnachen	22	93	79	30	81
Martynne	Sefton	20	46	8	99	79
Mar	Allon	19	60	71	67	3
Terza	Pavkovic	22	37	4	35	75
Inglebert	Zammett	19	77	90	26	48
Patricia	Plewman	21	49	92	9	18
Trefor	McTrusty	19	42	92	59	98
Brennen	Goering	19	57	31	80	10
Minni	Wheldon	20	54	61	56	65
Anson	Vivyan	22	13	79	49	35
Coreen	Gumn	22	71	71	39	49
Malachi	Ramel	19	66	24	26	2
Ganny	Gronaver	21	14	86	61	22
Malcolm	Awin	22	48	52	29	20
Ned	Gozney	19	69	53	5	36
Tito	Symcoxe	20	11	9	18	30
Gray	Firbank	21	83	73	20	80
Jean	Spenceley	20	62	9	65	74
Emily	Duggon	19	61	43	1	98
Paquito	Cripps	22	86	19	46	45
Mayer	Longley	19	10	53	42	91
Editha	Outerbridge	20	88	71	95	36
Wilfrid	Mocker	21	45	16	57	50
Rodger	Husband	21	9	14	17	84
Adela	Goodby	19	77	32	35	2
Yasmin	Drillingcourt	22	99	26	63	5
Alric	Spittle	21	79	41	41	57
Matelda	D'Antonio	22	42	13	48	70
Wenda	Martine	19	98	43	10	35
Leighton	Aylett	22	5	7	41	46
Norina	Colbeck	20	11	3	30	4
Adel	Durtnall	20	18	64	79	19
Lissa	Lummasana	20	44	64	58	5
Aylmer	Gecks	21	45	84	45	82
Oberon	Corless	22	53	83	8	38
Stella	Machon	20	72	49	71	65
Ophelie	Prosser	20	17	30	50	80
Russ	Frudd	20	33	33	29	95
Windham	Simeoni	19	54	48	81	32
Katinka	Prene	20	81	11	17	13
Terese	Norcliff	20	73	57	47	2
Murray	Firmin	20	90	92	89	60
Jordanna	Scrimgeour	22	42	99	59	18
Rafi	Mackleden	20	5	2	65	50
Philip	Thon	20	4	40	20	27
Dieter	Kennea	20	75	6	54	97
Rey	Giannassi	19	81	38	15	52
Lancelot	Spriggen	21	75	7	55	41
Anneliese	Yegorkov	21	43	98	48	47
Patrizia	Gwin	19	17	73	85	82
Cathlene	Skinley	19	33	55	1	45
Mariya	Smelley	20	79	91	24	18
Josefina	Guidi	22	87	35	64	1
Krysta	Slane	21	40	42	51	18
Harriott	Abel	19	99	66	66	92
Bartlett	Maple	19	32	35	23	60
Doris	Stranieri	20	54	66	19	84
Rhiamon	Robart	21	13	40	97	47
Lynsey	Abrashkin	20	91	50	54	75
Saul	Lytton	19	30	91	26	35
Leyla	Lanchberry	19	83	34	89	72
Claudetta	Adkin	20	97	98	57	25
Alf	Iglesias	19	25	51	40	36
June	Boarder	20	15	92	93	33
Ennis	Cunnington	19	56	38	74	57
Ximenez	Carlisso	21	98	27	57	41
Chip	Szabo	20	36	42	57	80
Fremont	Olivari	20	87	11	22	43
Philbert	Charlin	22	32	30	52	84
Sandy	MacGilpatrick	19	36	85	88	9
Hale	Pumfrett	22	21	10	70	41
Dyna	Newhouse	22	34	65	27	21
Andromache	Andrzej	21	50	89	77	71
Starr	Wayman	20	55	1	1	68
Lana	Lunney	22	36	55	84	39
Ossie	Gatheridge	19	39	63	51	4
Oren	Cottu	19	86	51	44	65
Adams	Astill	20	22	45	83	3
Pia	Jenkerson	19	67	73	67	27
Dane	Hotton	20	12	65	44	58
Dory	Vlies	21	25	50	83	19
Ileane	Bosward	19	40	43	13	34
Webster	Vater	20	50	27	82	8
Deena	Burnhill	22	76	58	39	16
Fara	Shovell	19	57	95	59	38
Darrick	Jestico	22	29	19	49	84
Sydney	Fishwick	19	1	52	94	88
Charla	Garnsworth	22	10	35	19	69
Christa	Rogerson	21	95	23	4	17
Joli	Scheffler	21	1	71	49	6
Guillemette	Oriel	19	86	96	34	32
Daniella	Rubke	21	88	42	33	83
Jenifer	Spondley	20	87	91	54	60
Natka	Jerman	19	37	89	58	90
Kira	Esselin	21	93	47	41	93
Felizio	Osipenko	19	90	48	16	67
Dorthea	Burtonshaw	22	44	46	26	17
Katrinka	Northcott	20	61	74	69	39
Hinda	Chasier	22	59	75	84	10
Morie	Rosekilly	22	38	58	46	91
Xerxes	Desaur	20	21	13	10	32
Billie	Sturgeon	22	45	38	9	98
Wayne	Brownlea	21	52	38	39	4
Lorant	Godsal	22	9	47	45	29
Garrek	Jakoubek	22	94	83	53	45
Coriss	Adamovitch	22	94	63	97	29
Hobey	Ughelli	20	53	7	14	3
Maximilianus	Bulluck	19	8	75	71	62
Eydie	Easun	20	30	19	17	32
Paolo	Flitcroft	21	99	73	52	83
Rodrigo	Mustin	19	98	74	24	90
Randi	Ryde	22	76	16	23	21
Patsy	Riedel	22	65	10	24	45
Si	Dowson	19	52	20	25	31
Evvie	Simko	22	52	89	28	47
Billy	Lowe	21	66	54	59	89
Barby	Oddy	21	61	4	83	57
Kerk	Buckie	22	60	54	20	72
Goraud	Atkirk	20	62	77	2	43
Katharina	Morin	20	15	90	22	94
Sherlocke	Willavize	19	84	30	93	89
Dulcie	Neve	21	89	88	36	22
Margo	Cranton	20	42	87	71	37
Zack	Spracklin	20	19	89	57	66
Glenn	Sedgmond	20	48	97	1	49
Mic	Collumbell	20	80	32	11	68
Svend	McClifferty	22	55	7	19	74
Sibilla	McKevitt	19	98	60	91	69
Dacey	Quiddihy	22	53	85	99	69
Sky	Seaman	22	24	20	49	31
Vasili	Battle	21	45	46	78	78
Lida	Quartermaine	19	79	40	34	27
Carlina	Bygraves	22	10	66	65	29
Augustina	Eburne	19	52	39	34	69
Harwell	Cleland	22	27	19	10	95
Patricio	Allot	22	27	77	61	49
Dino	Edelman	21	29	81	95	57
Mackenzie	Escalante	22	66	64	68	99
Carole	Philipsen	22	70	20	42	98
Lorenza	Olechnowicz	22	53	49	11	16
Riki	Bedborough	22	34	6	27	35
Toma	Aspinwall	21	32	100	31	92
Vivian	Avann	22	92	69	4	98
Violet	Veschambes	20	61	86	97	84
Aeriel	Bleasdale	21	75	84	73	65
Keriann	Aisman	20	54	39	73	88
Shaw	Ruzek	20	70	24	35	10
Angeline	Purselowe	21	64	70	59	73
Sherrie	MacCaughan	22	96	11	21	63
Reginauld	Orteau	22	80	53	84	47
Rosamund	Atheis	22	17	71	73	91
Ezekiel	Possa	19	98	25	82	29
Katinka	Rehme	19	9	25	65	14
Idette	McRinn	19	99	32	96	69
Binky	Gellan	19	75	10	56	55
Harmon	Stepto	19	79	33	30	67
Stillmann	Doole	22	14	65	3	42
Gardiner	Keen	20	45	8	34	54
Hetty	Tapton	22	57	25	77	82
Brianne	Dorsey	22	7	98	66	40
Hayley	Mechem	19	53	6	100	93
Sebastien	Moline	22	54	1	33	34
Benny	Durbin	20	40	32	18	41
Archy	Harman	22	94	81	25	15
Vyky	Pavek	19	25	31	30	6
Elton	Wickey	21	41	64	45	46
Alexandra	Mansour	22	53	14	80	25
Tull	Tagg	19	30	95	39	43
Rivkah	Ladon	22	49	68	78	38
Marj	Waddilow	20	79	81	45	40
Dame	Fenny	22	21	61	62	47
Desi	Ravillas	22	44	55	9	79
Amberly	Piggens	19	99	3	43	2
Clemmie	Gitsham	21	44	6	4	57
Ray	Conkling	22	9	80	16	91
Mira	Mounsie	19	35	80	27	10
Pepi	Rosedale	20	31	13	6	17
Fergus	Pearmain	22	49	12	63	89
Marlene	McCaughey	21	52	95	55	37
Trudie	Slowley	21	38	9	23	57
Sukey	Ivashintsov	21	24	81	33	21
Petr	Chessell	19	6	28	67	90
Adda	Monini	22	27	85	58	32
Traci	Lipscombe	21	22	35	48	69
Kev	Gilcrist	20	22	64	4	61
Randie	Meni	22	93	7	97	100
Tildi	Deason	21	87	45	63	21
Martita	Gueinn	20	59	38	94	44
Charlton	McKew	22	61	11	13	61
Clementina	Ibarra	22	63	78	10	33
Bab	Delamaine	19	68	98	34	59
Nickolaus	Clem	19	37	75	77	55
Laughton	Orrocks	21	76	43	65	62
Callie	McConnell	21	7	64	70	94
Harrie	Bebbell	22	21	21	3	14
Garv	Belcham	22	100	72	100	23
Flemming	Reinbech	21	64	66	43	90
Hercules	Capponeer	20	82	13	38	33
Doris	Illwell	21	48	99	51	84
Shannah	Ouchterlony	19	26	91	8	99
Vonnie	Betser	21	23	31	63	31
Corabelle	Ferrarese	21	93	48	15	75
Bernadine	Derrington	21	79	40	14	24
Zorine	Lefridge	22	63	81	70	70
Berni	Elphey	21	10	52	29	77
Lidia	Ettery	22	21	67	99	4
Kala	Skillett	22	67	66	75	65
Desmund	Droogan	21	70	44	2	65
Ronnie	Garton	19	4	84	43	14
Heida	Brotherhood	19	98	37	94	30
Carolin	Alred	19	82	71	29	31
Cozmo	Andriolli	22	70	27	95	30
Kermie	Thake	20	5	49	52	79
Gerrilee	Sinnett	21	56	80	80	46
Erskine	Pohlak	19	85	7	23	22
Tommy	Gettins	20	66	80	84	38
Ursulina	Bisacre	19	16	99	16	84
Kimmi	Geldart	21	37	27	90	42
Edmund	Onthank	19	5	39	30	83
Maire	Dunrige	22	11	23	73	28
Jelene	Penticoot	19	56	85	38	94
Deni	Van Bruggen	21	45	71	50	6
Dusty	Tewes	21	16	55	87	78
Darlleen	Oury	22	52	77	91	92
Fionnula	Foran	22	44	33	96	63
Winifield	Glasscock	20	26	99	37	92
Emelyne	Hanny	22	64	25	17	47
Calli	Burds	19	86	85	76	24
Kaiser	McConnel	20	5	92	72	13
Othello	Bourbon	22	29	97	55	92
Jakob	Gudde	20	34	14	44	99
Bobinette	Sarll	22	93	14	50	85
Randolf	Hanford	21	81	87	84	22
Rhodie	Prosh	19	99	84	47	79
Nicholle	Blazynski	21	79	14	1	49
Osgood	Treadway	19	54	63	8	13
Dana	Tregunnah	19	92	88	24	36
Deloria	Gornal	19	68	70	46	29
Nappie	Seabourne	19	73	23	42	47
Conant	Drysdell	19	91	99	9	90
Donielle	Cearley	21	83	71	60	44
Grantley	Salzberger	19	91	26	48	2
Kim	Sheilds	20	9	32	56	85
Brinn	Pover	22	79	12	22	85
Gregory	Fink	20	91	84	56	84
Waylen	Sime	22	10	58	25	65
Obidiah	Warrington	20	59	78	16	82
Pat	Saller	20	11	94	80	41
Creighton	Rawsen	20	5	24	42	20
Evey	Bullier	19	74	6	34	33
Felix	Michelotti	22	73	99	32	54
Huntlee	Yerrall	22	59	18	96	67
Adriana	Aire	22	56	24	95	29
Morty	Morstatt	20	86	16	20	54
Artemas	Markovich	19	74	9	35	61
Husain	Slowcock	20	14	24	18	30
Leta	Adanet	19	5	15	53	61
Liana	Hames	19	7	14	96	64
Felicity	Lewzey	20	69	98	88	69
Cindy	Kerford	19	3	30	66	93
Brew	McKniely	21	35	49	45	73
Camila	Combes	21	78	12	24	29
Jessey	Meininking	19	75	90	96	90
Oberon	Kingswood	21	10	83	67	38
Chic	Torre	22	1	20	8	32
Goldi	Benne	21	43	87	22	67
Anne-corinne	Margaritelli	22	6	46	64	83
Arabele	Holdren	21	93	94	94	53
Arlen	Winwright	22	4	3	30	65
Mella	Scimoni	19	84	50	38	99
Catherin	Rye	20	20	17	61	5
Ameline	Bestiman	22	87	76	19	98
Chelsey	Leaning	21	8	96	70	85
Janela	Suffield	19	64	76	89	21
Shellysheldon	Rubens	22	99	71	56	37
Melamie	Oloshin	20	9	61	23	30
Yale	Cristoforo	21	7	84	56	79
Helen	Kleynen	22	87	36	62	60
Peggi	Kingsford	19	22	12	28	56
Warner	Davidde	21	31	22	42	83
Bernelle	Evett	20	29	92	34	72
Adel	Giorgio	21	27	64	95	58
Goddart	Lindmark	21	37	76	72	89
Christel	Radke	21	95	97	98	88
Dominique	Jubert	21	58	90	67	15
Van	Furmonger	21	91	97	41	98
Moise	Richmond	20	93	92	59	55
Berky	Runge	21	70	76	33	59
Hewe	Boullen	21	4	18	50	68
Flossi	Ors	22	30	16	81	7
Jessi	Petrolli	21	16	94	89	52
Josefa	Gayther	21	43	75	3	59
Julianna	Filshin	22	50	74	99	40
Gaile	Peirone	19	55	44	86	41
Andrea	Splain	22	79	62	15	8
Ash	Sewill	21	99	5	82	33
Gina	Findlater	20	47	10	91	78
Andrej	Giddins	22	69	84	84	79
Tiebold	Besse	21	22	61	81	16
Margit	Toplis	20	6	19	80	80
Jolyn	Whye	21	71	80	99	16
Ximenez	Keasley	20	30	72	41	26
Austina	Ivakhin	19	33	79	51	34
John	Lardier	22	98	8	95	66
Laurice	Hastler	22	46	25	14	33
Shawn	Russam	21	51	33	70	27
Tadio	Caghan	19	48	87	78	6
Aveline	Davidescu	19	27	71	57	99
Marianna	Trewinnard	20	92	56	51	5
Peyton	Burnel	20	9	40	54	16
Maye	Shilliday	20	49	37	46	96
Annemarie	Scragg	22	15	3	13	78
Edwin	O' Faherty	21	84	42	65	67
Elia	Merkel	22	100	25	81	16
Jehu	Langmaid	20	85	53	36	35
Prudence	Wray	21	19	14	51	4
Tommi	Philipson	22	42	20	14	47
Teddy	Farrent	21	59	20	12	60
Manuel	Tockell	22	38	55	70	88
Ofella	Aseef	19	100	10	17	34
Olivia	Drew-Clifton	19	57	24	41	32
Korry	Foxwell	22	58	79	65	76
York	Corter	19	35	33	47	41
Lisha	Lutwyche	20	89	12	33	83
Christean	Bigly	19	17	85	99	20
Zorana	Rubenovic	19	26	72	98	40
Bo	Brokenshire	22	59	37	75	32
Shae	Burnie	21	31	83	28	1
Electra	Condict	21	89	56	33	61
Danny	Hilland	21	23	89	39	74
Katerina	Palatino	22	51	40	22	88
Mella	Leman	21	19	85	77	56
Wesley	Revie	21	7	58	18	83
Tybi	Done	21	42	73	58	61
Donnie	Lucus	20	79	42	57	3
Dede	Metterick	20	2	74	95	67
Shellie	Bigland	19	7	99	47	85
Malena	Hans	20	41	63	86	41
Garrot	Shewery	20	73	100	68	83
Edwina	Dorricott	22	48	66	36	63
Farr	Rollitt	21	63	82	28	29
Danyette	Dietzler	20	4	89	28	22
Nesta	Seakings	20	32	54	12	93
Bobette	Cockson	22	44	35	57	30
Jacinthe	Allanby	22	67	91	91	89
Nikolai	Seston	22	55	65	56	27
Corri	Rigby	22	99	70	33	67
Jakob	Tomczak	19	76	70	64	32
Frans	Houlridge	20	100	19	82	71
Orran	Josipovic	22	55	98	67	83
Glynnis	Frissell	22	92	30	86	55
Elihu	Dillicate	19	3	17	73	29
Andrej	Tellenbroker	21	80	87	59	66
Montgomery	Brolan	21	53	98	99	69
Ferdinand	Brikner	19	9	75	58	56
Evangelia	Keggins	22	84	7	58	20
Pepi	Dunley	22	64	9	15	39
Court	Verryan	20	28	62	17	54
Ermina	Motte	20	16	100	63	24
Jacquelynn	Kordova	19	71	68	23	41
Thadeus	McGrorty	22	41	26	40	18
Kaylil	MacCallam	20	91	6	60	13
Jerrold	Eagling	22	92	24	14	95
Lory	Canedo	19	38	7	94	70
Pris	Filippone	22	29	10	76	4
Waylin	Lettley	19	96	39	18	63
Ashlin	Van Niekerk	22	79	39	67	90
Paul	Spellesy	21	38	22	66	46
Garvey	Mellows	20	15	34	28	61
Conchita	Marzele	20	95	68	4	77
Agretha	Ironmonger	19	30	39	35	70
Gibby	Thraves	21	3	19	14	84
Charita	Lautie	20	90	48	84	58
Catarina	Greser	21	23	52	54	95
Urban	Water	20	38	10	24	39
Rutter	Mulvaney	22	92	5	76	49
Glenine	Beseke	20	10	53	62	100
Aileen	Upjohn	21	56	95	52	62
Jonathan	Chucks	19	65	61	53	36
Alden	Cogzell	19	62	50	38	18
Shanta	Mitrikhin	19	35	30	51	45
Karrah	Bramham	20	10	71	68	87
Corbett	Mayhew	21	5	22	70	1
Cesaro	Alpes	21	9	85	60	94
Inessa	Gailor	21	41	92	3	27
Katerine	Maskell	20	13	15	19	27
Alexei	Jeannesson	19	13	55	54	82
Mel	Organ	22	33	29	58	93
Tiler	Bredbury	20	15	89	14	25
Kittie	Cargo	20	88	49	93	31
Waylan	Clemence	20	92	59	89	45
Anatola	Smyth	20	39	18	91	90
Olive	Footitt	22	77	15	27	21
Ame	Stoop	22	78	76	98	51
Gustavo	Moodie	20	24	31	92	10
Christyna	Bicker	20	7	53	73	27
Theressa	Frankling	20	43	54	15	26
Susann	Althorp	19	19	6	61	73
Georgianne	Minton	20	48	38	1	90
Curtis	Dripps	21	66	3	88	9
Jilly	Iacomelli	20	50	56	98	86
Naoma	Dunnett	22	61	72	21	27
Adam	Gillam	21	7	10	55	58
Shayne	Bessett	20	81	74	57	84
Martha	Hobben	20	16	47	15	62
Frederick	Lowdwell	22	97	54	81	22
Hollyanne	Riddick	19	68	48	17	25
Aaron	Sleith	20	35	68	70	97
Sibella	Duffer	22	51	60	94	44
Casper	Laurisch	19	33	31	76	87
Aundrea	Graine	21	57	56	54	12
Franklyn	Moxson	20	25	98	66	36
Jaye	Pochet	20	21	7	84	83
Birdie	Farry	19	1	58	15	50
Ardis	Breese	20	56	42	51	10
Darren	Yarr	20	92	45	68	99
Clareta	Odgaard	22	37	44	86	9
Dorene	Pauleit	21	24	42	13	91
Randell	Golledge	20	1	47	71	88
Winn	Gwinnel	19	81	87	43	6
Camel	Berthot	22	42	60	11	95
Tiffanie	Calbreath	19	91	89	95	30
Ellen	Blumfield	22	43	97	51	61
Georgie	Francecione	20	17	78	86	59
Norine	Suerz	20	21	57	16	24
Roch	Costerd	19	24	35	12	9
Merilyn	Rauprich	19	82	1	84	36
Zebulon	Morrell	22	97	2	19	14
Petronilla	Andrysek	21	69	53	29	24
Brantley	Seddon	22	56	49	17	59
Fayth	Coorington	21	12	64	75	43
Chandler	Bernardino	21	2	37	84	16
Leshia	Commucci	22	29	10	66	78
Atalanta	Ruberti	22	87	60	97	4
Lezlie	Jellett	20	100	10	32	80
Gaile	Posselwhite	22	62	54	18	22
Erica	Brugmann	19	45	62	73	68
Maiga	Hake	20	47	67	95	17
Marita	Wignall	22	86	47	79	99
Sherwynd	Ferries	19	22	25	34	19
Griffin	Threadkell	19	90	73	58	94
Bonnie	Dyne	20	56	99	7	16
Gretta	Peachey	20	68	20	10	3
Sidney	Harradine	21	52	13	69	93
Pepe	Blamey	19	90	10	85	29
Tammie	Leatham	21	37	39	14	71
Angelina	Pendleberry	19	18	24	13	99
